PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
WASHINGTON (GEORGE),21,POOL (INDOOR),INDOOR,1180054.7725800001,1868193.8666600001,"(41.793593999999999, -87.615285)"
WASHINGTON (GEORGE),21,CRICKET FIELD,SPECIAL,1181139.49712,1868915.8241999999,"(41.795549999999999, -87.611284999999995)"
WASHINGTON (GEORGE),21,CRICKET FIELD,SPECIAL,1181514.93141,1869169.73052,"(41.796238000000002, -87.609900999999994)"
WASHINGTON (GEORGE),21,CRICKET FIELD,SPECIAL,1181111.28556,1869345.5116699999,"(41.796729999999997, -87.611374999999995)"
WASHINGTON (GEORGE),21,CRICKET FIELD,SPECIAL,1180731.5110599999,1869095.9458900001,"(41.796053999999998, -87.612775999999997)"
WASHINGTON (GEORGE),21,LAGOON,OUTDOOR,1180968.42692,1866740.3003400001,"(41.789583999999998, -87.611979000000005)"
WASHINGTON (GEORGE),21,CASTING PIER,OUTDOOR,1181214.2013699999,1867797.12959,"(41.792479, -87.611046000000002)"
WENTWORTH (JOHN) GARDENS,286,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1175272.21686,1879776.9005799999,"(41.825487000000003, -87.632475999999997)"
WHITE (WILLYE B.),1043,GYMNASIUM,INDOOR,1164086.37867,1950475.5032800001,"(42.019731999999998, -87.671512000000007)"
WILSON (FRANK),145,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1140086.4719400001,1930228.4850399999,"(41.964646999999999, -87.760328999999999)"
JACKSON (ANDREW),19,LAGOON,OUTDOOR,1189288.8781300001,1865196.9802600001,"(41.785153999999999, -87.581520999999995)"
JACKSON (ANDREW),19,LAGOON,OUTDOOR,1190524.2582100001,1862311.1326900001,"(41.777205000000002, -87.577083999999999)"
ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR,1158711.32938,1897365.72367,"(41.874107000000002, -87.692751999999999)"
BLACKHAWK,122,SHUFFLEBOARD,SPECIAL,1142403.0916500001,1914920.36146,"(41.922598000000001, -87.752191999999994)"
CURIE (MARIE),408,TENNIS COURT,OUTDOOR,1151609.4334799999,1871197.23007,"(41.802439999999997, -87.719514000000004)"
CURIE (MARIE),408,TENNIS COURT,OUTDOOR,1151568.7695200001,1871173.05165,"(41.802374999999998, -87.719662999999997)"
CURIE (MARIE),408,TENNIS COURT,OUTDOOR,1151529.2046300001,1871153.2692,"(41.802320999999999, -87.719808999999998)"
CURIE (MARIE),408,TENNIS COURT,OUTDOOR,1151485.2434400001,1871130.1895300001,"(41.802258999999999, -87.719971000000001)"
CURIE (MARIE),408,TENNIS COURT,OUTDOOR,1151441.28257,1871108.20893,"(41.802199000000002, -87.720133000000004)"
GARFIELD (JAMES),204,ARTIFICIAL TURF FIELD,OUTDOOR,1151478.3448300001,1898113.9232900001,"(41.876306, -87.719289000000003)"
LA FOLLETTE (ROBERT),201,ARTIFICIAL TURF FIELD,OUTDOOR,1141819.5603400001,1908725.11335,"(41.905608000000001, -87.754490000000004)"
PASTEUR (LOUIS),247,ARTIFICIAL TURF FIELD,OUTDOOR,1148404.25419,1865446.5716299999,"(41.786721999999997, -87.731415999999996)"
JACKSON (ANDREW),19,ARTIFICIAL TURF FIELD,OUTDOOR,1188730.8070700001,1862765.7197100001,"(41.778494999999999, -87.583645000000004)"
BARTELME (MARY),542,SPRAY FEATURE,OUTDOOR,1170205.49963,1899667.61145,"(41.880181, -87.650484000000006)"
PARK NO. 484,484,BASEBALL SR,OUTDOOR,1146465.60387,1859287.7693099999,"(41.769857999999999, -87.738681)"
